Name,Address,Stars (Out of 10),Delivery Charges,Delivery Charges Description,Services Fee,Timing
Montana's BBQ & Bar,407 Cundles Road East,7.4,$1.29 Delivery Fee,The $1.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:30 AM - 10:45 PM
The Canadian Brewhouse,125 Park Pl Blvd,9.0,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:30 AM - 10:30 PM
Rooh's Shawarma Doner & Kebab,1 Dunlop St E,8.0,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),10:30 AM - 12:30 AM
Montana's BBQ & Bar,66 Barrie View Drive,8.9,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:45 AM - 10:30 PM
Mucho Burrito,420 Essa Rd,8.9,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $30.,A 10% service fee applies ($1.99 min - $1.99 max),10:30 AM - 10:30 PM
Kelseys,458 Bayfield Street,8.2,$2.29 Delivery Fee,The $2.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 11:15 PM
Shell,86 Barrie View Dr,8.5,$4.49 Delivery Fee Over $10,Delivery is $4.49 based on the drive time to your location. You must have a food and beverage subtotal over $10 to order.,A 10% service fee applies ($2.00 min - $5.00 max),12:00 AM - 2:30 AM
Baskin Robbins,75 Barrie View Drive,8.7,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 10:15 PM
Wendy's,450 Bryne Dr,8.7,$3.49 Delivery Fee,The $3.49 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),12:00 AM - 1:30 AM
Amaya Express,19 Hart Dr,7.4,$2.49 Delivery Fee,The $2.49 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $20.,A 10% service fee applies ($1.99 min - $1.99 max),10:30 AM - 10:30 PM
Junction Indian Street Food,285 Dunlop St W,7.4,$1.59 Delivery Fee,The $1.59 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 10:30 PM
Kenzington Burger Bar,511 Bryne Dr,8.6,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 10:30 PM
Little Caesars,531 Bayfield St,8.2,$2.79 Delivery Fee,The $2.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),10:30 AM - 11:45 PM
Papa John's Pizza,336 Yonge Street,8.4,$5.99 Delivery Fee,The $5.99 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $30.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 11:30 PM
Pita Land,34 Cedar Pointe Dr,7.4,$3.49 Delivery Fee,The $3.49 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $20.,A 10% service fee applies ($1.99 min - $1.99 max),9:45 AM - 11:00 PM
Royal Paan,7 Anne St S,7.4,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 11:00 PM
Tandoori Tonight,36 Anne St N,7.4,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),3:00 PM - 11:00 PM
Chicken Chicken,410 Essa Rd,8.3,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 10:30 PM
705 Cravings,20 Bell Farm Rd,7.0,$1.59 Delivery Fee,The $1.59 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),12:00 AM - 1:30 AM
Jack Astor's Bar & Grill,70 Mapleview Dr W,8.2,$5.99 Delivery Fee,The $5.99 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $30.,A 10% service fee applies ($1.99 min - $1.99 max),10:50 AM - 10:15 PM
The Philthy Pierogi,98 Dunlop St E,7.1,$2.39 Delivery Fee,The $2.39 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $20.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 10:15 PM
The Burger's Priest,120 Concert Way,7.4,$2.79 Delivery Fee,The $2.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 11:15 PM
D Spot Dessert Café,279 Yonge St,7.7,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),1:00 PM - 11:00 PM
Boston Pizza,License #1236606,7.4,$4.99 Delivery Fee,The $4.99 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 10:30 PM
Burger King,19 Mapleview Dr W #4d,7.4,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),12:00 AM - 1:00 AM
Honest Restaurant,165 Wellington St W,6.7,$2.29 Delivery Fee,The $2.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 10:30 PM
Wickie's Pub South,274 Burton Ave,6.7,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 11:30 PM
Hot Wok Chinese Restaurant & Dim Sum,477 Grove St E,9.8,$1.29 Delivery Fee,The $1.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),10:45 AM - 8:15 PM
Chafresh,130 Bell Farm Rd,9.7,$1.29 Delivery Fee,The $1.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),10:50 AM - 9:45 PM
Subway,307 Blake St,9.7,$1.49 Delivery Fee,The $1.49 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),8:30 AM - 8:30 PM
The 7 Spice Fast Casual Multi-Cuisine,353 Duckworth St,9.7,$1.29 Delivery Fee,The $1.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 10:00 PM
Chois Fish N' Chips,201 Cundles Road East,10,$1.59 Delivery Fee,The $1.59 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),12:00 PM - 7:30 PM
Rim Thanon Thai Kitchen,221 Cundles Rd E,10,$1.59 Delivery Fee,The $1.59 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 8:00 PM
The Beer Store,299 Blake St,9.6,$2.49 Delivery Fee Over $15,Delivery is $2.49 based on the drive time to your location. You must have a food and beverage subtotal over $15 to order.,NA,10:00 AM - 8:15 PM
Smokin Pete's Burger Stop,157 Bayfield St,9.8,$1.99 Delivery Fee,The $1.99 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 7:45 PM
Baskin Robbins,331 Bayfield St,9.7,$1.59 Delivery Fee,The $1.59 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 9:45 PM
Centurion Coffee (The CheeseCake Factory Bakery),112 Dunlop St E,10,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),8:30 AM - 9:30 PM
Sushi and Tree,9 Dunlop St W #7,10,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:30 AM - 8:30 PM
Poutine and Wings,353 Duckworth St Unit 7,9.3,$1.39 Delivery Fee,The $1.39 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $20.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 9:30 PM
Noble Cuisine,10 Fairview Rd,NA,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:15 AM - 8:30 PM
Tian Ya BBQ,54 Maple Ave,9.9,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:30 AM - 8:30 PM
Mucho Burrito,353 Duckworth St Unit 6,9.2,$1.29 Delivery Fee,The $1.29 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $20.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 10:00 PM
St. Louis Bar & Grill,353 Duckworth St,9.2,$1.39 Delivery Fee,The $1.39 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $20.,A 10% service fee applies ($1.99 min - $1.99 max),11:30 AM - 10:00 PM
Spicemart,18 Cundles Rd E,9.5,$1.59 Delivery Fee,The $1.59 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),10:00 AM - 9:00 PM
Menchie's Frozen Yogurt,397 Bayfield Street,9.8,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),12:15 PM - 8:45 PM
Jade Thai Oriental Cuisine,157 Bayfield St,9.4,$1.59 Delivery Fee,The $1.59 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:30 AM - 9:30 PM
Kinja Sushi,17 Clapperton St,9.7,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:30 AM - 8:15 PM
Wikki Hut,509 Bayfield St,10,$2.29 Delivery Fee,The $2.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),10:45 AM - 7:30 PM
barBURRITO,367 Cundles Rd E,9.3,$1.59 Delivery Fee,The $1.59 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),10:45 AM - 8:30 PM
Chicken Chicken,360 Bayfield St,9.3,$1.59 Delivery Fee,The $1.59 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 10:00 PM
