Name,Address,Stars (Out of 10),Delivery Charges,Delivery Charges Description,Services Fee,Timing
Halibut House Fish & Chips,627 Cundles Rd E,8.1,$1.29 Delivery Fee,The $1.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:30 AM - 7:00 PM
North Country,10 Dunlop St E,8.7,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),12:00 PM - 8:15 PM
cupCAKE,70 Essa Rd,9.0,$4.99 Delivery Fee,The $4.99 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $30.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 5:15 PM
The Potato Patio,642 Dunlop St W,9.0,$2.29 Delivery Fee,The $2.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 7:30 PM
Anikky's Kitchen,199 Ardagh Rd,9.3,$2.79 Delivery Fee,The $2.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),10:00 AM - 7:30 PM
Kernels Popcorn,509 Bayfield St,9.3,$2.79 Delivery Fee,The $2.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 7:30 PM
Mmm Donuts,509 Bayfield St,9.3,$2.79 Delivery Fee,The $2.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),9:30 AM - 8:30 PM
Mmm Donuts Café and Bakery,240 Bayview Dr,9.3,$2.79 Delivery Fee,The $2.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),7:15 AM - 5:00 PM
Mr. Pretzels,509 Bayfield St,9.3,$2.79 Delivery Fee,The $2.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),10:15 AM - 6:45 PM
The Beer Store,531 Bayfield St,9.3,$3.99 Delivery Fee Over $15,Delivery is $3.99 based on the drive time to your location. You must have a food and beverage subtotal over $15 to order.,NA,10:00 AM - 9:15 PM
The Wine Shop,472 Bayfield St,9.3,$4.69 Delivery Fee,The $4.69 delivery fee is based on the drive time to your location.,NA,1:00 PM - 6:30 PM
Unbelievabowl Smoothie Bowls,420 Leacock Dr,9.3,$2.79 Delivery Fee,The $2.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),10:15 AM - 6:00 PM
Firehouse Subs,169 Live Eight Way,9.6,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 8:30 PM
Mary Brown's Chicken,165 Wellington St W,8.9,$2.29 Delivery Fee,The $2.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 9:30 PM
Perfect SZN,353 Anne St N,8.9,$2.29 Delivery Fee,The $2.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),12:00 PM - 8:30 PM
Feta & Olives,509 Bayfield St,9.2,$2.79 Delivery Fee,The $2.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 7:30 PM
Teriyaki Experience,89 Park Pl Blvd,9.5,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:30 AM - 7:00 PM
Topper's Pizza,331 Bayfield St,8.2,$1.99 Delivery Fee,The $1.99 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $20.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 9:30 PM
New York Fries,509 Bayfield St,9.1,$2.79 Delivery Fee,The $2.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 5:30 PM
Thai Express,509 Bayfield St,9.1,$2.79 Delivery Fee,The $2.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 7:30 PM
Mucho Burrito,50 Mapleview Dr W,9.4,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),10:00 AM - 10:00 PM
Score Pizza,169 Live Eight Way,9.4,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 8:00 PM
Shawarma Royale,89 Park Pl Blvd,9.4,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $30.,A 10% service fee applies ($1.99 min - $1.99 max),10:30 AM - 9:30 PM
St. Louis Bar & Grill,408 Dunlop St W,8.4,$2.29 Delivery Fee,The $2.29 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $20.,A 10% service fee applies ($1.99 min - $1.99 max),11:30 AM - 8:30 PM
Tim Hortons,354 Bayfield St,8.4,$1.99 Delivery Fee Over $5,Delivery is $1.99 based on the drive time to your location. You must have a food and beverage subtotal over $5 to order.,A 10% service fee applies ($1.99 min - $1.99 max),6:00 AM - 9:30 PM
Limoncello Bistro,41 Maple Ave,8.7,$2.29 Delivery Fee,The $2.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:30 AM - 2:15 PM
Magnotta Barrie,120 Park Pl Blvd,9.3,$5.19 Delivery Fee Over $12,Delivery is $5.19 based on the drive time to your location. You must have a food and beverage subtotal over $12 to order.,NA,10:30 AM - 8:30 PM
Sicilian Gourmet Pizza & Pasta,225 Ferndale Dr S,9.3,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 9:45 PM
Stacked Pancake & Breakfast House,559 Essa Rd,9.3,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),7:00 AM - 2:45 PM
Z-Teca Mexican Eatery,179 Live Eight Way,9.3,$5.99 Delivery Fee,The $5.99 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $30.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 8:15 PM
Flashback Diner,309 Bayfield St,8.0,$1.59 Delivery Fee,The $1.59 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),7:45 AM - 7:15 PM
Hakka Zone,307 Cundles Rd E,8.0,$1.99 Delivery Fee,The $1.99 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $20.,A 10% service fee applies ($1.99 min - $1.99 max),12:00 PM - 8:30 PM
Tim Hortons,297 Dunlop St W,8.0,$1.79 Delivery Fee Over $5,Delivery is $1.79 based on the drive time to your location. You must have a food and beverage subtotal over $5 to order.,A 10% service fee applies ($1.99 min - $1.99 max),8:00 AM - 5:30 PM
Diamond Sushi,516 Bryne Dr,9.2,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 8:15 PM
Wimpy's Diner,279 Yonge St,9.2,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),8:00 AM - 8:00 PM
Tim Hortons,80 Bayfield St,8.2,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,NA,A 10% service fee applies ($1.99 min - $1.99 max). The exact amount of service fee will be displayed at checkout. Our service fee allows Skip to maintain strong service levels in order to better serve our local partners and continue to provide more variety to our customers.
Subway,420 Leacock Dr,8.8,$2.99 Delivery Fee,The $2.99 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),8:30 AM - 9:30 PM
Yang's Chinese Restaurant,420 Leacock Dr,8.8,$2.79 Delivery Fee,The $2.79 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $30.,A 10% service fee applies ($1.99 min - $1.99 max),11:30 AM - 8:45 PM
Big Bone BBQ & Wicked Wings,190 Minet's Point Rd,9.1,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),12:30 PM - 7:15 PM
Kelseys,License #805753,9.1,$5.99 Delivery Fee,The $5.99 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $30.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 10:00 PM
Williams Fresh Cafe,501 Bryne Dr,9.1,$5.99 Delivery Fee,The $5.99 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $30.,A 10% service fee applies ($1.99 min - $1.99 max),8:00 AM - 7:30 PM
Applebee's,326 Bayfield St,7.8,$1.59 Delivery Fee,The $1.59 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 9:30 PM
Tahini's,7 Anne St S Unit 5,8.1,$2.39 Delivery Fee,The $2.39 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $20.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 9:30 PM
Subway,89 Park Pl Blvd,9.0,$3.49 Delivery Fee,The $3.49 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),9:30 AM - 8:30 PM
Real Fruit Bubble Tea,509 Bayfield St,8.6,$2.79 Delivery Fee,The $2.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),10:30 AM - 8:00 PM
Booster Juice,89 Park Pl Blvd,8.9,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),7:00 AM - 8:00 PM
The Beer Store,71 Mapleview Dr W,8.9,$4.49 Delivery Fee Over $15,Delivery is $4.49 based on the drive time to your location. You must have a food and beverage subtotal over $15 to order.,NA,10:00 AM - 8:15 PM
Subway,221 Cundles Rd E,7.6,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),9:30 AM - 8:30 PM
4Diamond Sushi,29 Anne St S,7.9,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 9:00 PM
Subway,102 Bayfield St,7.9,$1.99 Delivery Fee,The $1.99 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),8:30 AM - 9:30 PM
A&W,490 Bayfield Street,8.2,$2.49 Delivery Fee,The $2.49 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),7:00 AM - 8:45 PM
McDonald's,450 Bayfield St,8.2,$2.49 Delivery Fee,The $2.49 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),7:00 AM - 9:30 PM
The Sweet Spot,642 Dunlop St W,8.5,$3.79 Delivery Fee,The $3.79 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $30.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 7:30 PM
Tim Hortons,657 Cundles Rd E,7.5,$1.79 Delivery Fee Over $5,Delivery is $1.79 based on the drive time to your location. You must have a food and beverage subtotal over $5 to order.,A 10% service fee applies ($1.99 min - $1.99 max),8:00 AM - 3:30 PM
Pizza Pizza,360 Bayfield St,7.8,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 10:00 PM
The Caribbean Express,39 Dunlop St E,7.8,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),12:00 PM - 7:30 PM
Bo's Thai Take Out,254 Edgehill Dr,8.1,$2.29 Delivery Fee,The $2.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),10:00 AM - 9:15 PM
Cheer's Bar and Grill,220 Bayview Dr,8.4,$2.79 Delivery Fee,The $2.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),12:00 PM - 5:30 PM
Panera Bread,149 Park Pl Blvd,8.7,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),8:00 AM - 7:00 PM
Simmering Kettle,531 Bryne Dr,8.7,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),9:00 AM - 7:30 PM
Tim Hortons,Trillium Place,7.4,$1.79 Delivery Fee Over $5,Delivery is $1.79 based on the drive time to your location. You must have a food and beverage subtotal over $5 to order.,A 10% service fee applies ($1.99 min - $1.99 max),6:00 AM - 9:30 PM
Dunlop Street Diner,20 Dunlop St E,7.7,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),7:00 AM - 2:30 PM
Swirleez Frozen Yogurt,89 Dunlop St E,7.7,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),3:30 PM - 7:30 PM
Tara Indian Cuisine Restaurant,128 Dunlop St E,7.7,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),12:00 PM - 2:00 PM
Subway,190 Minet's Point Rd,8.6,$3.49 Delivery Fee,The $3.49 delivery fee is based on the drive time to your location.,NA,A 10% service fee applies ($1.99 min - $1.99 max). The exact amount of service fee will be displayed at checkout. Our service fee allows Skip to maintain strong service levels in order to better serve our local partners and continue to provide more variety to our customers.
Anderson's Kitchen,15 Cedar Pointe Dr,NA,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),10:00 AM - 9:30 PM
Shopfest African-Caribbean Grocery,4 Cedar Pointe Dr,7.6,$2.99 Delivery Fee Over $20,Delivery is $2.99 based on the drive time to your location. You must have a food and beverage subtotal over $20 to order.,A 10% service fee applies ($2.00 min - $5.00 max),10:00 AM - 7:30 PM
The Breakfast House,359 Bayfield St,7.6,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),8:00 AM - 1:00 PM
Pie Wood Fired Pizza Joint,11 Victoria St,8.2,$2.79 Delivery Fee,The $2.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:30 AM - 8:30 PM
CW Coops,License #1252505,7.4,$3.49 Delivery Fee,The $3.49 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $20.,A 10% service fee applies ($1.99 min - $1.99 max),12:00 PM - 9:30 PM
Pita Pit,89 Park Pl Blvd,8.2,$5.99 Delivery Fee,The $5.99 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $30.,A 10% service fee applies ($1.99 min - $1.99 max),10:00 AM - 9:30 PM
Chillz Dessert Lounge,89 Dunlop St E Unit 102,7.2,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),5:00 PM - 9:30 PM
RIPE Juicery,118 Dunlop St E,7.2,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),9:00 AM - 4:30 PM
East Side Mario's,502 Bayfield St,7.4,$2.29 Delivery Fee,The $2.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:30 AM - 8:30 PM
Red Lobster,319 Bayfield St,6.7,$1.59 Delivery Fee,The $1.59 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 8:15 PM
Cocina Mexicana,144 Burton Ave,7.6,$2.79 Delivery Fee,The $2.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),4:00 PM - 8:00 PM
Spynn Restaurant,20 Fairview Rd,7.2,$2.29 Delivery Fee,The $2.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),6:00 AM - 9:30 AM
Harvey's,85 Barrie View Dr,7.7,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 9:15 PM
MOXIES,509 Bayfield St,7.3,$2.79 Delivery Fee,The $2.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:30 AM - 9:00 PM
Spoon & Fork,130 Park Pl Blvd,7.4,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:30 AM - 9:00 PM
Bloom Bistro,225 Ferndale Dr S,7.3,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),8:00 AM - 2:30 PM
Dairy Queen,371 Yonge St,7.3,$4.49 Delivery Fee,The $4.49 delivery fee is based on the drive time to your location.,NA,A 10% service fee applies ($1.99 min - $1.99 max). The exact amount of service fee will be displayed at checkout. Our service fee allows Skip to maintain strong service levels in order to better serve our local partners and continue to provide more variety to our customers.
Milestones Grill + Bar,150 Park Pl Blvd,6.8,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),12:00 PM - 8:15 PM
